,track_name,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
spotify:track:22n3sLGqLcaYKiVniC1ZOT,Last One Standing,spotify:artist:6LXZac7iBIZgnNrywTkQRw,Monophonics,afrobeat,50,60561,0.588,0.576,6,-6.945,0,0.0367,0.217,0.0354,0.172,0.661,129.157,4,happy
spotify:track:6CgsttSWDA2sISZQp1upXK,I Don't Wanna Lie,spotify:artist:2gqMBdyddvN82dzZt4ZF14,Yola,indie folk,54,57208,0.562,0.821,5,-5.082,1,0.0277,0.3,0.0,0.519,0.893,105.512,4,happy
spotify:track:3ue9zcwNcoYvFqKVjG0C6r,You And Me,spotify:artist:76sXjAhV0Hc3Pdb6bH3waC,Penny & The Quarters,traditional soul,41,11418,0.562,0.178,0,-7.811,1,0.0343,0.945,6.66e-06,0.121,0.25,109.589,4,happy
spotify:track:2G2YzndIA6jeWFPBXhUjh5,Be My Baby,spotify:artist:7CyeXFnOrfC1N6z4naIpgo,The Ronettes,adult standards,80,159525,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,4,happy
spotify:track:6hfKln1Jm1WCN6ozSQZGyN,You Are My Heart,spotify:artist:5KSFuLEiUvKeFg1tssgfuV,Rex Williams,classic afrobeat,33,432,0.664,0.681,7,-7.458,1,0.0366,0.481,0.0232,0.225,0.604,97.501,4,happy
spotify:track:5HrxlXl6yE5PWxFkNyUOz7,Bra,spotify:artist:4hfcSstwnyuBoek1dQwLkG,Cymande,afrobeat,54,122086,0.677,0.769,7,-10.142,1,0.0535,0.00545,0.0252,0.131,0.891,117.731,4,happy
spotify:track:7b8s4Z0abQQ4x4jpct4GjR,Cissy Strut,spotify:artist:2JRvXPGWiINrnJljNJhG5s,The Meters,afrobeat,56,179526,0.521,0.799,0,-11.993,1,0.097,0.106,0.732,0.332,0.709,175.921,4,happy
spotify:track:0MIq5zqSNk6XH4BoinuakO,Regenerate,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115920,0.765,0.497,1,-6.851,0,0.0483,0.766,0.149,0.122,0.509,86.182,4,happy
spotify:track:3XcuLPQb1LG13ZJEEa6wUI,Build Me Up Buttercup,spotify:artist:4GITZM5LCR2KcdlgEOrNLD,The Foundations,brill building pop,61,59719,0.657,0.423,0,-10.465,1,0.0308,0.361,0.0,0.31,0.842,133.612,4,happy
spotify:track:2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,642644,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,4,happy
spotify:track:3JbqwFY5q0ORO3siv5zL3A,Smooth Sailin',spotify:artist:3qnGvpP8Yth1AqSBMqON5x,Leon Bridges,modern blues,76,1133129,0.641,0.721,11,-6.788,0,0.0451,0.413,7.15e-06,0.246,0.753,67.055,4,happy
spotify:track:7gyDV6Y7GmHqQS4KnzI5Zk,Are You Ready to Love Me?,spotify:artist:6HhV0jtMMK5HYnYgG0xgtz,The War and Treaty,funk,48,37341,0.533,0.776,8,-7.092,1,0.0847,0.151,8.65e-05,0.13,0.697,90.061,4,happy
spotify:track:4F68WqrshWc5aWyJGCumd2,Blessed with the Best,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115920,0.591,0.653,1,-4.708,1,0.0499,0.303,0.000741,0.0709,0.904,161.726,4,happy
spotify:track:2QW3aWIzjEDdHFPZFvOlXX,You Send Me - Remastered,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1110353,0.565,0.286,4,-10.871,0,0.0289,0.883,0.0,0.178,0.487,95.964,4,happy
spotify:track:5joZkgTCteYR5SWvSesUSQ,Black Heart (feat. The Dap-Kings),spotify:artist:6f3R3mqKR3kHp1KBNMUn80,Stealth,na,48,16591,0.852,0.76,1,-4.026,1,0.0849,0.0539,3.08e-05,0.151,0.584,121.672,4,happy
spotify:track:4RQgqR09VmHn345vRhKQ6T,Sir Duke,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,81,4683762,0.576,0.579,6,-9.628,1,0.0769,0.16,0.0,0.0777,0.947,106.978,4,happy
spotify:track:5CMw1IWB7JOpUY9nk54n1K,It's Only A Paper Moon,spotify:artist:5V0MlUE1Bft0mbLlND7FJz,Ella Fitzgerald,adult standards,81,1819564,0.732,0.138,10,-14.28,1,0.0431,0.958,0.0,0.107,0.634,118.44,4,happy
spotify:track:62r1CS9zL1FL5Ilb7hLX7n,Take Me to the River,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1380949,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,4,happy
spotify:track:3VgrSJEKBRT3xmwzpaxxEF,(Love Is Like A) Heat Wave,spotify:artist:1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,brill building pop,60,295181,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,4,happy
spotify:track:4k6WZXbHUFEZR02X9FhOuT,Sure Don't Miss You,spotify:artist:2qFOYqFxPaIwEnffVhJhEn,The Dip,funk,54,69214,0.664,0.586,4,-7.985,0,0.0283,0.334,2.96e-06,0.16,0.727,102.991,4,happy
spotify:track:44kT6XsCkSGb9wNQ5qGXvg,Comencemos (Let's Start),spotify:artist:4fN32efNcPfJXVJ151noby,Jungle Fire,afrobeat,37,10363,0.666,0.903,0,-6.462,1,0.0456,0.23,0.616,0.151,0.913,111.84,4,happy
spotify:track:5usNPz6U1acDrkUYekGYDY,Then He Kissed Me,spotify:artist:7rewR1TVjhisjI6gauUamf,The Crystals,adult standards,60,76626,0.44,0.682,4,-7.416,1,0.0373,0.681,3.33e-05,0.207,0.626,135.917,4,happy
spotify:track:7lL2lMWNtzOcf5HnEudNgn,Everyday People,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,642644,0.813,0.619,7,-8.203,1,0.0294,0.245,0.0151,0.113,0.774,114.58,4,happy
spotify:track:6IpxLzChgCbFSJwso2Q84D,Time Is On My Side,spotify:artist:01Z8Z9K54zewyP04ZfGLSv,Irma Thomas,brill building pop,54,61049,0.518,0.622,0,-8.805,1,0.0349,0.619,0.00992,0.513,0.601,95.958,4,happy
spotify:track:4oP1iFJ5GSxeMMHofCg4ae,Love Again,spotify:artist:31rVRoX5ZG9ZyRbHvlEwjA,RuthAnne,uk contemporary r&b,51,10570,0.58,0.424,8,-6.366,1,0.0714,0.624,0.0,0.103,0.478,92.291,4,happy
spotify:track:0AECVMjxepWdsjDb49JFRd,Tell Me Something Good,spotify:artist:3MCjwjfIor5FkK3h639qkW,Rufus,classic soul,53,129060,0.724,0.404,1,-9.186,1,0.231,0.657,0.0,0.116,0.794,73.983,4,happy
spotify:track:0ZZbKNLGRNHs93FhNebPFH,Soul Connection,spotify:artist:2BNkflUlJ7uUr06ltR93mU,Diplomats of Solid Sound,bboy,40,11714,0.654,0.627,2,-6.137,1,0.0298,0.104,3.18e-05,0.143,0.817,109.057,4,happy
spotify:track:3zYQ1KXzqBWRsxIqdVMoYF,Need Your Love,spotify:artist:0CUpzKPDfIVzYqMn47jiV3,Curtis Harding,funk,53,125535,0.713,0.8,7,-5.938,0,0.0349,0.0491,7.96e-05,0.0921,0.814,139.942,4,happy
spotify:track:4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,Jackie Wilson,adult standards,61,296213,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,4,happy
spotify:track:10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1380949,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,4,happy
spotify:track:3jrPIWpTMWlh4qIiDAhfPS,In Love (Don't Mess Things Up),spotify:artist:1plioVQ0mcgAO7uhvWkJJy,Lady Wray,funk,52,35705,0.758,0.364,9,-7.491,0,0.0549,0.623,5.87e-06,0.138,0.533,95.619,4,happy
spotify:track:2WVz9Mtp3E8HCblGiu3nCv,Use Me,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,funk,76,1028001,0.747,0.638,11,-12.028,0,0.0537,0.0474,0.00138,0.0751,0.961,154.708,4,happy
spotify:track:3AW8RH8wosGLxd6ZojTGBe,Hard to Handle,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,classic soul,75,1661337,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,4,happy
spotify:track:0OwvrdjaJOypNsNQHyBWE5,California Soul,spotify:artist:0hirZ8kPPdM9pzXpoagB4w,Marlena Shaw,funk,54,47125,0.513,0.826,8,-8.407,0,0.0574,0.555,3.48e-05,0.366,0.539,94.582,4,happy
spotify:track:35w6fQ0Wnuv7aIryRx7gTq,B-A-B-Y,spotify:artist:1QAGLCom3FHTTiuRFsjzOj,Carla Thomas,brill building pop,55,44877,0.74,0.301,8,-11.975,1,0.0467,0.428,0.0,0.0782,0.669,113.61,4,happy
spotify:track:6cpNEgirhi0QmLDA2cVSHO,It's A Shame,spotify:artist:5fbhwqYYh4YwUoEs582mq5,The Spinners,classic soul,62,528895,0.411,0.788,8,-10.197,0,0.109,0.0952,0.0,0.175,0.612,198.435,4,happy
spotify:track:5fNDP3NTdE69szQHUl4fFr,Please Mr. Postman - Stereo Version,spotify:artist:0MponVSpW81oLvJZ53vYZH,The Marvelettes,brill building pop,54,227888,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69e-06,0.0565,0.961,120.586,4,happy
spotify:track:5rrXkymfQdhNBgBZ3BUVbB,Mama Said - Rerecorded Version,spotify:artist:0x83OBqixqdCHnStP5VMcn,The Shirelles,adult standards,54,189787,0.762,0.528,8,-6.789,0,0.0335,0.0573,0.0,0.281,0.933,140.403,4,happy
spotify:track:2DunIaFgxhhLktcs07CxAM,I Just Dropped In To See What Condition My Condition Is In,spotify:artist:6LufpoVlIYKQCu9Gjpk8B7,Sharon Jones & The Dap-Kings,classic soul,61,211164,0.641,0.763,10,-6.461,0,0.0474,0.227,0.000394,0.0831,0.86,133.256,4,happy
spotify:track:16ZNz0wXDJERo4zquNPw7x,How Sweet It Is (To Be Loved By You),spotify:artist:1rHh0AI30JhKrbzKIFjFNd,Jr. Walker & The All Stars,brill building pop,53,138578,0.575,0.731,1,-7.876,1,0.168,0.0114,3.97e-06,0.351,0.694,125.44,4,happy
spotify:track:0gtTfaz5zzbJA28Ypu7k0W,Groove Me,spotify:artist:03PCdNvkF81s7xHmtkNcoz,King Floyd,classic soul,45,9750,0.913,0.481,11,-8.459,1,0.0998,0.392,7.48e-05,0.0279,0.878,103.62,4,happy
spotify:track:6bo1ykqKEAYsdwVtR1ze8x,Pelvis Pusher,spotify:artist:72Pauuctba5lMzC89R0Vk0,Vintage Trouble,funk,45,106013,0.544,0.842,0,-4.634,1,0.115,0.0528,0.0,0.0946,0.714,169.406,4,happy
spotify:track:2Bls0igCm79XQQ95IoUbhq,Mr. Big Stuff,spotify:artist:2Tk0pWxTuQgnE5nsUexrLr,Jean Knight,soul,50,14336,0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,4,happy
spotify:track:6iNHWlOLt4NuDi9iSvtznO,Ladies,spotify:artist:2bToe6WyGvADJftreuXh2K,Lee Fields & The Expressions,afrobeat,55,115920,0.48,0.751,1,-5.702,0,0.0383,0.188,1.69e-05,0.163,0.789,177.371,4,happy
spotify:track:74iQ3gahRTOGc19bYadBE3,Thank You (Falettinme Be Mice Elf Agin) - Single Version,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,classic rock,62,642644,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,4,happy
spotify:track:6DNgKv1sWH2505Z5SAqAXr,Get out of My Life Woman,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,Lee Dorsey,classic soul,48,31479,0.841,0.4,6,-10.703,1,0.0334,0.294,0.000367,0.0335,0.855,89.594,3,happy
spotify:track:1jogl9f7HlgoN817JlwqgY,Got To Give It Up (Part 1),spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye,classic soul,76,3751894,0.867,0.915,2,-6.593,1,0.0487,0.0687,0.00135,0.347,0.848,122.678,4,happy
spotify:track:3axZhjWYerBhaovH5MlkTZ,Make Me Yours,spotify:artist:0g3EsNvUCwgpsdkAiIC50W,Bettye Swann,classic soul,46,28897,0.711,0.492,3,-8.119,1,0.0325,0.454,1.45e-05,0.126,0.868,107.917,4,happy
spotify:track:6AEaiHXFPOncWxkoKmb5dB,Uptight (Everything's Alright),spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,81,4683762,0.589,0.721,5,-5.8,0,0.0287,0.0838,0.0,0.127,0.843,134.208,4,happy
spotify:track:7FS541dJh3iQAEXEZoDhE6,Twistin' the Night Away,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1110353,0.458,0.801,9,-7.83,1,0.0565,0.691,0.0,0.328,0.93,160.547,4,happy
spotify:track:4pW3aTX3kAmOaPJfc9UM12,Express Yourself,spotify:artist:2t0kaaDtGZtmpczIAMaVTQ,Charles Wright & The Watts 103rd Street Rhythm Band,funk,48,21990,0.789,0.683,8,-8.835,1,0.086,0.48,0.0,0.35,0.882,92.311,4,happy
spotify:track:6ZnHrF3PTc3JEVz4tlKAJh,Rock Steady,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,classic soul,74,2429982,0.734,0.811,7,-9.083,1,0.125,0.0332,0.0539,0.238,0.926,104.414,4,happy
spotify:track:00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,spotify:artist:6h3rSZ8VLK7a5vXjEmhfuD,The Brothers Johnson,classic soul,55,248063,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,4,happy
spotify:track:36AlMHDBFwSsD3FQOy1R81,Try a Little Tenderness,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,classic soul,75,1661337,0.587,0.133,9,-15.151,0,0.0565,0.186,2.26e-05,0.258,0.068,102.938,4,happy
spotify:track:4dUOAFN1Yk2TuslROwZcdX,Give It Up,spotify:artist:0En4EEcDMJ5kaUCf1aZ9js,Lee Dorsey,classic soul,48,31479,0.463,0.562,0,-8.932,0,0.078,0.132,1.82e-05,0.111,0.787,164.391,4,happy
spotify:track:4ZKGarvWsSOruOaw40cFNz,Love That Girl,spotify:artist:6g0Wah2YFtb1rFgKhUktlo,Raphael Saadiq,funk,57,410472,0.71,0.674,1,-5.393,1,0.0352,0.0136,1.73e-05,0.0366,0.7,124.033,4,happy
spotify:track:6vcG9EgeqJUSmmF65lxUm6,One Fine Day,spotify:artist:05sIdEkXAYDbDDdv3T56Oj,The Chiffons,adult standards,48,73778,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,4,happy
spotify:track:4oq10QlUc3rvww1huvtA2j,"Mercy, Mercy",spotify:artist:3SC1GczHVpsiorx1KFaa4S,Don Covay,classic soul,35,12811,0.896,0.374,9,-16.832,1,0.0746,0.23,0.000168,0.152,0.834,118.203,4,happy
spotify:track:2jg4Yc8071puvDRYi22B3a,"Signed, Sealed, Delivered (I'm Yours)",spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,81,4683762,0.646,0.784,5,-6.137,1,0.0334,0.00495,0.0,0.061,0.819,108.84,4,happy
spotify:track:6ztKXHQLwNSvoMNdV1ntE2,Playboy - Single Version,spotify:artist:0MponVSpW81oLvJZ53vYZH,The Marvelettes,brill building pop,54,227888,0.865,0.678,0,-5.589,1,0.058,0.355,0.0,0.0627,0.913,123.759,4,happy
spotify:track:2vLaES21zwbX1Rnmj56Bbb,I'll Be Around,spotify:artist:5fbhwqYYh4YwUoEs582mq5,The Spinners,classic soul,62,528895,0.593,0.791,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,4,happy
spotify:track:6fuvYxKEvU4inG8eTB2nYi,"I Can't Help Myself (Sugar Pie, Honey Bunch)",spotify:artist:7fIvjotigTGWqjIz6EP1i4,Four Tops,adult standards,66,712651,0.692,0.633,0,-7.733,1,0.0291,0.197,0.0,0.0929,0.965,126.812,4,happy
spotify:track:7t7VTdIZS01AfR2w2SHb17,Good To You,spotify:artist:3UtTKOuKlWMQPSCyIvCDl6,Jonny P,retro soul,39,6266,0.789,0.38,1,-10.662,1,0.0362,0.358,0.0207,0.0928,0.702,92.028,4,happy
spotify:track:2oezpnnea1VXHpJEbqnBhw,It's Your Thing,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers,classic soul,65,1136870,0.378,0.682,10,-10.228,1,0.124,0.0777,2.83e-06,0.0573,0.89,185.273,4,happy
spotify:track:0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,adult standards,70,1110353,0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,4,happy
spotify:track:5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,spotify:artist:7xGGqA85UIWX1GoTVM4itC,The Staple Singers,brill building pop,59,210249,0.846,0.595,0,-8.372,1,0.0439,0.0904,1.96e-06,0.063,0.78,101.632,4,happy
spotify:track:28285KFbyCq8sJofn58qlD,Love Train,spotify:artist:38h03gA85YYPeDPd9ER9rT,The O'Jays,classic soul,61,733107,0.744,0.568,0,-9.629,1,0.0494,0.186,1.18e-05,0.163,0.687,122.657,4,happy
spotify:track:7zrPswSV1yxrill5OyCuaU,Pusherman,spotify:artist:2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,chicago soul,63,759417,0.851,0.669,10,-9.562,1,0.0379,0.239,0.0852,0.108,0.911,126.624,4,happy
spotify:track:4kP69y3GKHi9tXckfgp4bK,For Once In My Life,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,81,4683762,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,4,happy
spotify:track:5QXAMj4GVRUPOQVUNJjLJl,Come See About Me,spotify:artist:57bUPid8xztkieZfS7OlEV,The Supremes,adult standards,68,1166597,0.739,0.626,7,-7.666,1,0.0389,0.658,0.0,0.14,0.812,126.388,4,happy
spotify:track:5mY4K0OJsYr3qq0mSkUtiO,Love Rollercoaster,spotify:artist:6m30rs1IQqnWqV5nKMpU7U,Ohio Players,classic soul,52,426179,0.612,0.817,0,-10.13,1,0.0741,0.196,0.0,0.055,0.467,115.132,4,happy
spotify:track:6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",spotify:artist:2BVYdY4PyfCF9z4NrkhEB2,Sam & Dave,brill building pop,59,223504,0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,4,happy
spotify:track:1XvCs8az0V297Ex0I9VAPu,Family Affair,spotify:artist:6hA6GJ2yJA08ifsAplkUr0,Sly Stone,funk,32,8995,0.748,0.719,2,-11.172,0,0.0421,0.362,0.139,0.114,0.737,107.962,4,happy
spotify:track:0CPwNXw5qD9588d86nropo,This Old Heart Of Mine (Is Weak For You) - Single Version / Mono,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers,classic soul,65,1136870,0.541,0.649,5,-7.579,1,0.0362,0.348,0.0,0.147,0.905,65.383,4,happy
spotify:track:6SMHgPgNkhe9lneNTbgtel,Love and Happiness,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1380949,0.822,0.457,6,-10.937,1,0.235,0.214,0.000397,0.0766,0.73,99.16,4,happy
spotify:track:4U2b99X9hSSDjPbHCpIeJj,Ain't That A Shame? - Remastered 2002,spotify:artist:09C0xjtosNAIXP36wTnWxd,Fats Domino,adult standards,58,332720,0.54,0.389,4,-7.212,1,0.0345,0.757,1.22e-05,0.0836,0.954,121.288,4,happy
spotify:track:6G7MHIvSDR3ehXPkuDFAlM,California Dreamin',spotify:artist:0vqkz1b2qBkoYrGMj2CUWq,Bobby Womack,classic soul,62,486553,0.47,0.385,6,-13.159,0,0.0296,0.767,0.0653,0.179,0.694,112.377,4,happy
spotify:track:2f9HNN1AnSoBiW2aObROr3,I Second That Emotion,spotify:artist:6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,brill building pop,61,776008,0.655,0.649,2,-8.092,1,0.0331,0.183,0.0,0.0969,0.773,95.818,4,happy
spotify:track:0dMd4rilfd6gPbXaLpNYhu,Higher Ground,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,adult standards,81,4683762,0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.189,0.821,125.474,4,happy
spotify:track:3Qe0dJkQXx7jJWXRxuVqJ0,Easy,spotify:artist:6twIAGnYuIT1pncMAsXnEm,Commodores,adult standards,67,1108783,0.577,0.481,10,-10.581,0,0.03,0.204,0.00229,0.317,0.311,132.159,4,happy
spotify:track:69Qa7czzqraPWZgxpQN405,You Can't Hurry Love,spotify:artist:57bUPid8xztkieZfS7OlEV,The Supremes,adult standards,68,1166597,0.617,0.81,10,-6.513,1,0.0798,0.762,0.0,0.134,0.65,97.389,4,happy
spotify:track:3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,classic soul,75,1661337,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,4,happy
spotify:track:2m3qhWMiEjqgkfslIRf4pg,Baby (You've Got What It Takes),spotify:artist:32LHRiof0sa4taYew9i3Fa,Dinah Washington,adult standards,62,316762,0.673,0.598,3,-9.232,1,0.0687,0.85,0.00147,0.652,0.802,133.383,4,happy
spotify:track:74JdR9aXE6I74oS1BVRsvb,O-o-h Child,spotify:artist:3Inrg8cs8oc4q8oPES4a6S,The Five Stairsteps,chicago soul,53,46742,0.488,0.754,5,-7.95,0,0.0381,0.00154,2.42e-05,0.678,0.664,88.369,4,happy
spotify:track:7kWhdmRYv8CqbWNqfojqVd,Let's Stay Together,spotify:artist:3dkbV4qihUeMsqN4vBGg93,Al Green,classic soul,68,1380949,0.746,0.273,5,-16.63,1,0.0573,0.606,0.0168,0.0526,0.502,101.952,4,happy
spotify:track:58IiROv3C3SPnYEmx8zxcE,Snatching It Back,spotify:artist:7lffJlv0nRl0sIsHDmo0SB,Clarence Carter,classic soul,54,114665,0.669,0.687,1,-9.999,1,0.0552,0.534,3.22e-05,0.233,0.918,102.211,4,happy
spotify:track:4XsH9zBWPOCdXoH9ZDdS8r,Superfly,spotify:artist:2AV6XDIs32ofIJhkkDevjm,Curtis Mayfield,chicago soul,63,759417,0.784,0.708,2,-9.141,1,0.11,0.457,7.5e-05,0.0913,0.749,120.109,4,happy
spotify:track:4T43c9I2dDyrrlds7qqS2N,Something's Got A Hold On Me - Single Version,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,Etta James,adult standards,70,1110746,0.474,0.558,1,-6.3,1,0.132,0.771,0.0,0.839,0.619,151.221,4,happy
spotify:track:07zToRJlr6YYaDNL70CFz8,No Particular Place To Go - Single Version,spotify:artist:293zczrfYafIItmnmM3coR,Chuck Berry,adult standards,76,1285313,0.604,0.816,7,-7.15,1,0.0456,0.431,0.000555,0.165,0.976,128.896,4,happy
spotify:track:5hTyIlRYTc0sNHk5wDk6Xl,That Lady - Pt. 1 & 2,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers,classic soul,65,1136870,0.339,0.809,5,-8.902,0,0.0649,0.159,4.08e-05,0.349,0.922,126.539,4,happy
spotify:track:1ijrMIqQvZNsnoqGukPzFD,I'm Forrest... Forrest Gump,spotify:artist:0Xk15jHKly4c3AhPr5vjoA,Alan Silvestri,scorecore,65,208382,0.402,0.046,5,-22.779,1,0.033,0.979,0.513,0.0771,0.0967,104.425,4,happy
spotify:track:644es5aYPJghtZLjM1rmSP,Concerning Hobbits,spotify:artist:0OcclcP5o8VKH2TRqSY2A7,Howard Shore,canadian classical,69,341912,0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,4,happy
spotify:track:2TZbQZXOuR8osP2AK8yYMN,Theme From Jurassic Park,spotify:artist:3dRfiJ2650SZu6GbydcHNb,John Williams,soundtrack,83,946798,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,3,happy
